"Nazwisko.i.imiona","Nazwa.komitetu","imie","nazwisko"
"Kazimierz SMOLIŃSKI","PIS","Kazimierz","SMOLIŃSKI"
"Anna Helena SOBOLAK","KO","Anna","SOBOLAK"
"Krzysztof SOBOLEWSKI","PIS","Krzysztof","SOBOLEWSKI"
"Artur SOBOŃ","PIS","Artur","SOBOŃ"
"Agnieszka Anna SOIN","PIS","Agnieszka","SOIN"
"Zbigniew SOSNOWSKI","Trzecia Droga","Zbigniew","SOSNOWSKI"
"Marek Jan SOWA","KO","Marek","SOWA"
"Katarzyna SÓJKA","PIS","Katarzyna","SÓJKA"
"Magdalena Joanna SROKA","Trzecia Droga","Magdalena","SROKA"
"Mirosława Agnieszka STACHOWIAK-RÓŻECKA","PIS","Mirosława","STACHOWIAK-RÓŻECKA"
"Dariusz Paweł STEFANIUK","PIS","Dariusz","STEFANIUK"
"Franciszek Wojciech STERCZEWSKI","KO","Franciszek","STERCZEWSKI"
"Piotr Paweł STRACH","Trzecia Droga","Piotr","STRACH"
"Mirosław Tadeusz SUCHOŃ","Trzecia Droga","Mirosław","SUCHOŃ"
"Marek Witold SUSKI","PIS","Marek","SUSKI"
"Paweł SUSKI","KO","Paweł","SUSKI"
"Artur Lesław SZAŁABAWKA","PIS","Artur","SZAŁABAWKA"
"Wojciech Piotr SZARAMA","PIS","Wojciech","SZARAMA"
"Wiesław Andrzej SZCZEPAŃSKI","Lewica","Wiesław","SZCZEPAŃSKI"
"Michał Roch SZCZERBA","KO","Michał","SZCZERBA"
"Krzysztof Łukasz SZCZUCKI","PIS","Krzysztof","SZCZUCKI"
"Józefa SZCZUREK-ŻELAZKO","PIS","Józefa","SZCZUREK-ŻELAZKO"
"Paweł Maciej SZEFERNAKER","PIS","Paweł","SZEFERNAKER"
"Andrzej Jan SZEJNA","Lewica","Andrzej","SZEJNA"
"Andrzej SZEWIŃSKI","KO","Andrzej","SZEWIŃSKI"
"Adam Stanisław SZŁAPKA","KO","Adam","SZŁAPKA"
"Henryk Marian SZOPIŃSKI","KO","Henryk","SZOPIŃSKI"
"Paweł SZROT","PIS","Paweł","SZROT"
"Krystyna Maria SZUMILAS","KO","Krystyna","SZUMILAS"
"Stanisław SZWED","PIS","Stanisław","SZWED"
"Ewa Joanna SZYMANOWSKA","Trzecia Droga","Ewa","SZYMANOWSKA"
"Tomasz Józef SZYMAŃSKI","KO","Tomasz","SZYMAŃSKI"
